sweeps,beta,magnetisation,energy,G,seed
687,0.4,0.2675,-2.29,0.5875,0
688,0.4,0.2375,-2.225,0.565,0
689,0.4,0.20875,-2.325,0.585,0
690,0.4,0.24625,-2.205,0.5425,0
691,0.4,0.22125,-2.23,0.5625,0
692,0.4,0.24625,-2.245,0.56,0
693,0.4,0.2425,-2.23,0.5725,0
694,0.4,0.25,-2.175,0.5325,0
695,0.4,0.1925,-2.265,0.57,0
696,0.4,0.26,-2.17,0.5225,0
697,0.4,0.2975,-2.345,0.585,0
698,0.4,0.2725,-2.26,0.5575,0
699,0.4,0.29125,-2.35,0.5725,0
700,0.4,0.285,-2.465,0.6075,0
701,0.4,0.2475,-2.31,0.575,0
702,0.4,0.2725,-2.38,0.6025,0
703,0.4,0.26125,-2.47,0.6075,0
704,0.4,0.26375,-2.415,0.57,0
705,0.4,0.2775,-2.27,0.545,0
706,0.4,0.28875,-2.265,0.5725,0
707,0.4,0.30375,-2.46,0.6375,0
708,0.4,0.30125,-2.3,0.58,0
709,0.4,0.325,-2.285,0.59,0
710,0.4,0.33625,-2.37,0.585,0
711,0.4,0.29125,-2.345,0.575,0
712,0.4,0.33375,-2.295,0.5675,0
713,0.4,0.3675,-2.435,0.6125,0
714,0.4,0.35875,-2.29,0.565,0
715,0.4,0.37125,-2.455,0.605,0
716,0.4,0.37875,-2.385,0.6,0
717,0.4,0.35125,-2.22,0.5525,0
718,0.4,0.3275,-2.305,0.575,0
719,0.4,0.28375,-2.14,0.5375,0
720,0.4,0.31375,-2.285,0.5625,0
721,0.4,0.27875,-2.115,0.505,0
722,0.4,0.27125,-2.2,0.5425,0
723,0.4,0.26875,-2.155,0.55,0
724,0.4,0.31,-2.245,0.56,0
725,0.4,0.31875,-2.36,0.5825,0
726,0.4,0.29375,-2.19,0.54,0
727,0.4,0.29125,-2.065,0.5325,0
728,0.4,0.36625,-2.2,0.5525,0
729,0.4,0.3625,-2.335,0.58,0
730,0.4,0.3575,-2.265,0.57,0
731,0.4,0.425,-2.39,0.5875,0
732,0.4,0.445,-2.33,0.5575,0
733,0.4,0.395,-2.2,0.5275,0
734,0.4,0.36125,-2.15,0.555,0
735,0.4,0.39125,-2.22,0.565,0
736,0.4,0.3625,-2.195,0.5575,0
737,0.4,0.3475,-2.225,0.55,0
738,0.4,0.40125,-2.26,0.5725,0
739,0.4,0.4125,-2.29,0.585,0
740,0.4,0.39125,-2.21,0.58,0
741,0.4,0.3875,-2.07,0.5225,0
742,0.4,0.40625,-2.245,0.575,0
743,0.4,0.45625,-2.275,0.575,0
744,0.4,0.45125,-2.365,0.595,0
745,0.4,0.49875,-2.46,0.6325,0
746,0.4,0.48,-2.41,0.6,0
747,0.4,0.46,-2.52,0.625,0
748,0.4,0.4075,-2.365,0.595,0
749,0.4,0.41125,-2.385,0.5925,0
750,0.4,0.37,-2.295,0.565,0
751,0.4,0.33875,-2.215,0.545,0
752,0.4,0.37,-2.22,0.53,0
753,0.4,0.37875,-2.285,0.555,0
754,0.4,0.3325,-2.155,0.5325,0
755,0.4,0.385,-2.265,0.5725,0
756,0.4,0.425,-2.2,0.55,0
757,0.4,0.385,-2.26,0.555,0
758,0.4,0.35125,-2.205,0.56,0
759,0.4,0.35125,-2.225,0.56,0
760,0.4,0.33125,-2.305,0.57,0
761,0.4,0.31875,-2.335,0.585,0
762,0.4,0.3,-2.31,0.56,0
763,0.4,0.26125,-2.27,0.57,0
764,0.4,0.24875,-2.315,0.5675,0
765,0.4,0.295,-2.305,0.56,0
766,0.4,0.26375,-2.325,0.5625,0
767,0.4,0.2325,-2.295,0.5625,0
768,0.4,0.20875,-2.31,0.555,0
769,0.4,0.2075,-2.23,0.5825,0
770,0.4,0.215,-2.26,0.56,0
771,0.4,0.1975,-2.24,0.5675,0
772,0.4,0.15,-2.21,0.5475,0
773,0.4,0.1475,-2.24,0.55,0
774,0.4,0.11375,-2.21,0.5425,0
775,0.4,0.11375,-2.185,0.5225,0
776,0.4,0.0875,-2.15,0.5275,0
777,0.4,0.06625,-2.405,0.5725,0
778,0.4,0.06375,-2.405,0.595,0
779,0.4,0.125,-2.355,0.585,0
780,0.4,0.135,-2.335,0.5875,0
781,0.4,0.1625,-2.245,0.555,0
782,0.4,0.165,-2.38,0.585,0
783,0.4,0.16625,-2.295,0.5625,0
784,0.4,0.1825,-2.25,0.58,0
785,0.4,0.17125,-2.29,0.5725,0
786,0.4,0.17375,-2.19,0.575,0
787,0.4,0.17375,-2.225,0.565,0
788,0.4,0.14375,-2.215,0.5475,0
789,0.4,0.15375,-2.175,0.5525,0
790,0.4,0.14875,-2.16,0.5375,0
791,0.4,0.1725,-2.08,0.5225,0
792,0.4,0.12625,-2.235,0.5675,0
793,0.4,0.15125,-2.27,0.5675,0
794,0.4,0.1375,-2.08,0.505,0
795,0.4,0.13625,-2.175,0.545,0
796,0.4,0.155,-2.21,0.57,0
797,0.4,0.1675,-2.21,0.5575,0
798,0.4,0.135,-2.11,0.5475,0
799,0.4,0.13375,-2.075,0.5375,0
800,0.4,0.1325,-2.28,0.59,0
801,0.4,0.12875,-2.185,0.5575,0
802,0.4,0.1425,-2.195,0.5575,0
803,0.4,0.13875,-2.29,0.565,0
804,0.4,0.09875,-2.295,0.58,0
805,0.4,0.0575,-2.385,0.5975,0
806,0.4,0.12,-2.26,0.5775,0
807,0.4,0.1325,-2.31,0.5725,0
808,0.4,0.19125,-2.185,0.5425,0
809,0.4,0.17,-2.13,0.5175,0
810,0.4,0.125,-2.205,0.5525,0
811,0.4,0.1825,-2.295,0.5725,0
812,0.4,0.24375,-2.21,0.5575,0
813,0.4,0.23,-2.285,0.5725,0
814,0.4,0.26125,-2.39,0.605,0
815,0.4,0.2475,-2.32,0.58,0
816,0.4,0.2325,-2.22,0.5625,0
817,0.4,0.25125,-2.265,0.5525,0
